FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,2373936480.516791,2492074002.7266064,1928391936.9918652,3264078425.8833084,1983041546.696496,2817262328.2091846,2326650576.0423427,1973480221.7709968,1989533718.9223557,2440931861.552081,1832670364.771043,2576043911.3118887,3460435010.6984043,1201299079.2718205,2033521012.8222563,1787416161.1182284,2825632568.128459,2376179909.4422274,2598484585.8381777,1391120109.2859955,2789523720.202204,1183529813.9160514,2232438480.925509,1912738178.8515542,3915678443.976935,2308243697.994911
0.001,2373936480.516791,2492074002.7266064,1928391936.9918652,3264078425.8833084,1983041546.696496,2817262328.2091846,2326650576.0423427,1973480221.7709968,1989533718.9223557,2440931861.552081,1832670364.771043,2576043911.3118887,3460435010.6984043,1201299079.2718205,2033521012.8222563,1787416161.1182284,2825632568.128459,2376179909.4422274,2598484585.8381777,1391120109.2859955,2789523720.202204,1183529813.9160514,2232438480.925509,1912738178.8515542,3915678443.976935,2308243697.994911
0.01,1621707397.1739736,1803842536.2343245,1581999420.6053028,1819307962.0199559,1983041546.696496,1786567167.5254023,1828291951.0053437,1656485734.6386313,1833650322.893157,2040759891.6769056,1623451283.987808,1551362988.7222002,1459041476.5822284,1201299079.2718205,2033521012.8222563,1662687621.4021735,2165660338.1237483,1620362937.6633856,1483699195.9472957,1391120109.2859955,2097800947.0143805,1183529813.9160514,2232438480.925509,1912738178.8515542,2039458832.5706487,1744553049.102262
0.1,458008191.78042054,816251725.6639985,1116183953.5410132,832273107.9779384,950199516.3841932,955932360.6788235,687345045.5510806,612070894.7585328,592082097.5849612,969822039.7551209,875577420.0049636,904914173.6448901,775159670.1219529,847399156.444159,492195786.7590605,832240186.0648842,975593249.5087698,436694998.64690274,726201940.6490755,990490347.2285255,831691546.5598677,637046614.1189258,708763192.5704163,735490115.4895469,761341718.9284172,780838762.0166576
0.2,285178771.34459233,671204644.2139281,464433005.11984324,474824309.70886683,405660472.224497,671855199.156378,641457063.4336532,612070894.7585328,545028995.1508008,551195243.3447624,556362025.6615064,620069241.3548102,493265494.30766296,609894065.4266734,492195786.7590605,674235018.4664212,524241659.3810909,436694998.64690274,286050536.7091454,592979643.1173257,492228863.98392403,545458460.4825238,364034832.59100604,467330075.4374727,443717936.3659073,516866689.4858915
0.3,285178771.34459233,172232083.52291808,464433005.11984324,411475306.7583397,405660472.224497,446348416.5995103,472865602.53417915,430225306.1096381,423255704.9347288,551195243.3447624,372456759.6519928,513544066.58072543,493265494.30766296,609894065.4266734,414684614.4139915,396169890.3530433,449777911.03554684,356013943.792937,286050536.7091454,439325575.7402466,296210413.4762041,406369016.29930663,364034832.59100604,434231748.17843354,374608230.22733784,410780280.4510905
0.4,275835410.91134757,172232083.52291808,342746021.8696984,237390566.16912305,334427321.1437785,377035484.1574459,309273013.77157617,430225306.1096381,280586021.1547318,354012060.23530287,304407543.4030272,257043091.68407714,493265494.30766296,381878190.4163279,414684614.4139915,396169890.3530433,340050373.2113266,304130863.5751488,286050536.7091454,332137807.15998805,226685688.27387828,227730784.9763633,364034832.59100604,315751563.58583206,171291716.63137352,317163051.2135101
0.5,119290347.52709754,172232083.52291808,342746021.8696984,237390566.16912305,295532227.0863755,308564962.21695435,248907515.0416481,259197515.37141392,146103995.2817745,247150142.20817158,234506199.25334048,253398697.4423335,493265494.30766296,381878190.4163279,339046447.10169023,310997033.568625,340050373.2113266,304130863.5751488,286050536.7091454,332137807.15998805,199378613.4944896,166878226.82465327,251662690.5559572,315751563.58583206,171291716.63137352,270301593.2053228
0.6,116016285.08485629,172232083.52291808,269088614.29977876,154433732.92064068,295532227.0863755,276533949.7823279,248907515.0416481,246142676.07487807,146103995.2817745,176246617.98039618,234506199.25334048,153183644.45356572,363824661.2522817,336503752.071461,192829901.51224208,300616200.3870461,160853279.5512302,228903685.5611198,286050536.7091454,267006293.0626092,199378613.4944896,96473427.71158431,174156378.58040908,263559070.80495474,171291716.63137352,221215002.32449788
0.7,53267317.69105803,147511795.10436848,269088614.29977876,133366224.38738598,157237495.73185715,270062570.56120783,92055958.45174843,127286990.55792639,143655433.90103576,164071250.57775605,142347389.70171592,118338291.32040681,230603093.60491055,254699969.92867646,192829901.51224208,270037434.10333073,160853279.5512302,147261306.3901696,172496210.08881217,254520320.99511766,116292195.34158602,79955107.6703904,69108663.90643322,214496548.63876817,171291716.63137352,166109403.22597146
0.8,39525406.80046083,69769353.42832169,178788877.49141246,112768748.13741195,100303397.70256309,189807994.88313344,60416212.88507966,89066301.64322639,95886635.73427162,113880063.70476402,130372077.87500475,89904430.0249402,181892827.19692782,254699969.92867646,192829901.51224208,203706821.2277626,104088334.88425422,102640192.61512077,165622167.636357,248024924.15148643,83112920.11389405,68225129.48055044,68320582.6905612,195801263.75144276,171291716.63137352,132429850.08524957
0.9,21876026.85818817,63496586.69081147,131071605.49034368,80141622.64797825,86281716.49781707,108307156.2218313,42799080.41328747,58078500.43689283,38039303.939186335,87478059.43644834,130372077.87500475,85926690.29884523,179894030.09479493,222373479.40966123,179364018.3387085,139255131.26269227,104088334.88425422,102640192.61512077,142304298.65797362,110591280.60625124,37089549.76760858,42840815.934896745,27784976.461608075,131546560.33796264,171291716.63137352,100997312.47238165
1,11000007.437862135,34052789.465113096,101392593.2149861,28716644.58326422,46779716.33263316,68147192.9205951,28568808.333238628,37308792.48925363,15821006.895039035,36060889.90646863,90088156.82168257,52227288.30500782,100542043.39092591,161668504.19174713,68354490.74697228,112199608.75707781,71667560.64985837,93526122.54394089,63480536.29428092,110591280.60625124,26137949.352203455,42840815.934896745,13388518.051058264,96256564.29567778,171291716.63137352,67284383.92605634
