FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,12953696830.485842,9709864343.616304,17194415714.613743,17742117474.820614,14652978461.557957,12436697865.318518,14446529253.786942,21363394744.319004,18204372024.950043,8587181753.233759,15388522221.581247,14532024042.545134,9060473716.63663,21288297447.059353,9117648680.745,15848497586.897045,11317973947.530594,15872291667.371792,11400048708.661308,16806761134.427702,15104737438.686201,13129346852.493616,18460669511.091404,12445738966.427185,18648478485.2909,14628510354.965914
0.001,12953696830.485842,9709864343.616304,17194415714.613743,15860900972.110565,14652978461.557957,12436697865.318518,14446529253.786942,18796831568.92794,12838959076.10771,8587181753.233759,15388522221.581247,12498402651.989424,9060473716.63663,18672929419.90475,9117648680.745,15848497586.897045,11317973947.530594,15872291667.371792,10726227668.190418,15407808366.189804,10210804613.359009,13129346852.493616,10272394357.51782,10122486420.005947,18648478485.2909,13350893699.818531
0.01,1212116246.4292386,812607620.1917433,837659832.0333728,574654012.5959476,669320411.3094362,515757022.0999693,864631572.5460896,1054057627.0416902,457931895.07733905,1785360128.671586,540719272.3219669,477395051.8711917,491985246.8617152,824924142.491111,707513974.7323103,501229940.9192344,451667570.74436796,380615288.4606907,612015355.295009,230983268.1421756,640644746.4747782,819081601.8633052,758658196.8726346,705886284.7102689,1331496070.9898465,730356495.2298808
0.1,5718.174902153672,8560.630673125255,3550.674230977447,51834.00695559928,9660.563940901402,288341.9728353612,784322.1336308791,432964.82638572046,9718.230592471466,265.7389648445666,8676.575582322328,9789.924783842383,28596.580840042683,38686.63109126468,5392.989836856858,179519.3253920611,9985.33309335747,33476.097356070546,9630.18614033173,11576.366297320475,22696.127462540226,11193.141883589467,10758.724943611369,12018.219244356189,14224.867889183817,80046.3217979514
0.2,5300.2972023022085,7099.530049047985,1567.488888435122,3388.3145635231067,9409.979361806494,3541.2542719820826,9579.806860762807,17034.693564220972,9446.21516256887,229.72804406030048,8478.489774808915,9711.682507087537,5900.718921302866,120.67601167074838,1262.5045091443494,2278.0683783114523,9598.168775105214,7267.521567534801,9499.589827901804,306.27692459982006,10984.37540180957,10846.880697893484,10622.236738611684,8377.17875816537,10761.690069627302,6904.534673291395
0.3,5226.543106279202,7034.979692585057,1436.2557804613314,3253.595026155534,9311.418116051056,3428.4396930889575,9404.469924945151,7347.41726047707,9350.970324505279,229.09634404447314,8372.656174619382,9590.594078142349,5560.322843344857,47.75614605433691,1244.4460226715908,1238.9997560393037,9395.486959587215,6640.6352685990705,9405.923041999371,185.8960108815785,10845.198237183939,10596.20785501631,10510.07856259908,8129.845148089615,10663.168237868842,6338.015984451598
0.4,5152.505575973755,6941.136072668956,1375.3368654462204,3218.2864131005076,9184.454274289941,3383.4477620849166,9263.197825329582,5727.2165393468185,9208.352756350878,227.33409050608498,8192.90248574222,9461.741619506423,5429.7838761890625,37.81717054479958,1226.3812586677893,1191.5871114546217,9182.830991725907,6454.321089679718,9297.857567558807,124.80616569417862,10732.524234878867,10503.419073378196,10413.89736667361,7998.033766016393,10547.428508179435,6179.064018439508
0.5,5114.073445370631,6845.724803752613,1339.2323925498292,3155.8345832567097,9088.782285506168,3357.7393189586087,9148.96629560067,2637.7051546240755,9092.01325605974,223.7976819646616,8028.789906588492,9381.05764429154,5357.690971629179,34.38356653529743,1208.6847086643854,1177.870977444045,9078.154176634647,6365.82436074698,9196.866041703202,121.26528937245985,10550.50494876957,10384.999330612098,10310.093246522843,7938.666234147125,10389.706433883215,5981.137082207551
0.6,5080.201163418792,6768.1576130506855,1298.315474590361,3117.884775410564,8899.224916542425,3323.500912377011,9024.66450757512,2389.5129834282097,8980.989650744952,221.12629981767236,7923.447887147568,9288.68987000107,5292.236103052229,33.28407722909168,1187.9357448950338,1158.9103896323456,8993.987265957907,6254.271530439434,9101.452338230541,120.35905340128534,10389.146469722897,10216.79707638782,10215.023425433432,7828.188344003143,10284.024826045155,5895.65330794139
0.7,5046.589752398796,6620.219133693721,1283.5537480209214,3096.4286187308544,8719.86509422312,3274.0157925377785,8969.39612095736,2315.8051544897503,8816.827815608567,218.33322126339357,7810.044113136043,9214.77224797985,5247.139186278442,32.86969673345314,1161.2011496914363,1141.5103034039703,8916.436039472082,6158.978841679192,9032.599589629406,118.76118037318457,10233.421562253647,10074.328017283633,10026.332806597564,7731.177805242261,10264.156090563454,5820.990523289675
0.8,5007.1018191874355,6510.34642862569,1269.5412685016593,3060.220698253399,8556.73934934744,3238.1834448113445,8812.484273807499,2275.6022542199785,8600.192924708017,216.08473603155733,7685.11687966696,9103.982387764416,5184.535105236987,32.36161020470382,1142.467729229733,1118.1770337207427,8811.03305195759,6065.422065152684,8942.48615705301,117.2338627124413,10108.21400756613,9958.230232932421,9921.311659089175,7615.656713289756,10207.168760835286,5742.395778156242
0.9,4947.443597879422,6448.7039474081685,1258.0704016825557,3021.1663256783977,8396.566822552988,3202.819403214928,8673.350493372434,2257.6042041756896,8513.550585411316,213.92801914083338,7585.968222490105,8995.51560102002,5120.10462514249,31.975761758591403,1127.8144152775446,1086.7053041336906,8696.240123337293,5995.5002721368055,8862.167357486023,115.2207655246504,10022.43318632401,9877.961320670018,9833.187486669394,7514.298486382544,10104.402405994399,5676.107965394573
1,4880.589833497011,6375.670396104054,1235.7281166548273,2980.9556696992895,8263.579388405737,3176.225760663207,8541.06364669135,2238.060587139697,8403.954562045168,210.8791193141194,7340.427766941065,8905.958431467567,5058.9673047600245,31.65302346236578,1115.1563641031382,1074.1845917428207,8577.22527011243,5918.629007813736,8737.127916693296,113.82945875309309,9952.406511496989,9734.433122890681,9740.953205754287,7432.461666309317,9958.35595025695,5599.939066910889
