FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,469199793.12566906,578865511.334727,534239266.1272007,482442167.49284345,122070437.01677483,364939739.3784705,1320070612.2404354,149335048.3385096,274062086.2037088,582571488.7934331,94981651.9640798,219474158.4790209,273945389.8043211,73508513.07576087,654588533.4770631,240019932.6486914,1326644140.9614944,255602925.85589057,634639156.3221128,225576874.51236734,363882634.84780294,174950337.06869438,558788694.3057348,126941545.62762856,157946280.2270696,410371476.7691802
0.001,421669501.52891076,193315319.0609834,255099126.24550095,403532686.12042713,122070437.01677483,172972977.92199415,828356676.1507738,99455688.19972125,248089306.1792338,140615180.23524296,94981651.9640798,219474158.4790209,273945389.8043211,73508513.07576087,294083385.21693486,225183208.61687326,620478938.7100029,113515400.08354294,634639156.3221128,225576874.51236734,140350557.7442576,174950337.06869438,558788694.3057348,126941545.62762856,148641445.25693825,272409446.2179133
0.01,41850451.388960816,17507718.59584856,20902699.53504241,47723135.29567481,27074201.391604763,49649586.48400493,50141233.61974801,28445792.763395112,21618767.399142917,25939489.28876444,23553763.13449194,19744622.243690647,66929317.425544955,35952854.86642467,31303787.938476287,28541611.976961248,46172913.46963283,37652888.12182135,50887853.9287146,66573076.881805584,23279210.52029347,37184756.29047092,49370280.1953369,20936455.861899078,22896456.25943376,35673316.9950874
0.1,3594934.3844647347,1257955.6421546692,420143.2847989869,3040977.6088458947,861224.4808423899,2534672.2748817145,1393803.6197194715,3607578.3140783804,1831496.551729363,7258955.493614383,3733893.6245875284,227844.26038455838,8290114.107752755,2648968.8780782577,3844712.2376856618,5184719.151088052,8224241.243734986,1981562.6639934452,3599757.372231517,15234121.412267612,3268023.985366538,1684698.5733210596,3525661.0535238874,969498.191958109,3913794.2646672134,3685334.1070308466
0.2,2748739.9764201757,333170.549363621,169793.70204996952,2325951.281835328,268868.99883863097,1144703.7731595628,578147.5875645236,758244.8678876287,363809.6977684814,2905791.0381416837,334783.6247542439,109844.84378694576,4089188.779335983,1065029.9265300566,1645578.4021660334,2429335.408404379,4934060.809569352,886707.0235635309,169305.79533030954,1912783.7982492386,2095070.888726502,332309.47693598043,294799.22544654255,51024.63518035458,1693147.4766969448,1345607.6635082401
0.3,1397059.004629527,87295.52370739754,108275.56549325661,813575.6515107378,98164.98097406319,162183.32046513323,81863.08251481803,284464.8034814792,166072.20951645484,1488929.442711159,257098.70525219847,65674.15087547977,3473883.911129244,58260.99307759382,706057.6738300333,373135.69490727474,566329.9212976873,262054.5490623269,70597.12282080282,48568.13831373889,780893.3508368555,118180.3738912631,88942.22570841535,41019.99105083398,888779.8768883229,499494.4105578439
0.4,486803.72113799787,28134.574594396574,66018.9857754632,308652.36178043566,58369.15882477881,76253.26889859352,21364.431146967632,149403.34172981343,96590.97981182688,446629.2089804947,207136.01450028527,38814.39883203296,2110956.786168102,27700.173417775008,65230.732361051494,39160.60322619983,57661.18812820372,126035.6813877307,39654.04520695584,22759.23746778931,84112.06023780457,9212.977298520502,72209.59917371963,37968.43775491057,614092.5390743838,211636.98027664935
0.5,377965.9057789994,26420.874121422512,42919.450102443465,95909.1992842211,41821.83206393995,58948.16358626689,17000.423267525697,53711.91190279025,76864.00374800587,204397.88822268692,17992.54332596435,29513.648903394853,753340.2480207874,25522.044707809757,28013.734034402685,14156.659970540895,34254.75666063558,118320.09289786422,30713.312915759023,20768.011863628293,45395.74007981435,6448.51938122131,56972.18088872019,26828.031025581964,389074.85929626063,103730.9614420275
0.6,226769.6301527463,22110.059456135976,38542.97492471838,50252.51796085866,37949.63245602234,51189.76689506516,15201.767677652815,31924.23906764255,53764.77592777704,66422.82157243986,12858.235637529107,25161.38950278989,351047.42813312326,20492.52625624891,26030.182174597987,10136.40884731915,32660.863301899302,103249.26950175923,28443.567632876544,20227.60311890224,43087.440148998045,5902.064661323818,46044.80907950631,25119.197811017282,190340.8901030627,61397.202480080516
0.7,140574.77803370243,20084.090468859835,24603.379197852697,35069.725873135765,29634.12532216516,49977.38976333149,12969.037380749463,24964.48550955469,38572.30360408338,37900.886285100896,11928.434568099861,24300.342813172727,144378.2420109568,19391.67035069941,24409.676763716187,9112.225200458775,30773.27126002365,89947.39408148223,27267.45196970381,19725.972987828467,31898.941335628788,5229.630883323327,38977.33772061955,24262.094834325133,165674.25734108646,43265.08582238644
0.8,125638.42125757926,19374.487829286983,16989.594926707363,32253.74882718446,25106.030528721974,42296.14772190944,12063.40219209581,22360.446660731144,33833.158383159505,16827.381172001606,11772.733571251014,23058.091594797388,73284.94675714303,17136.14178413722,19096.343871239038,8476.504206142059,27266.830254642366,64088.660738924154,26399.657160759616,19442.875177495873,24586.240671983505,4683.914483454493,37735.39337420233,22272.937009715333,138991.3023664833,34601.41570086993
0.9,105941.38159369168,19088.972847303477,16327.186899020584,27356.750583727084,22201.00068791083,38883.42707525317,9734.746889018994,16187.992831536212,32377.928845456325,14405.719338705767,11577.399316247911,22077.16603569371,56103.10303299754,15406.870668506268,16827.684629425003,8230.560467355619,25552.082790842585,45371.66311991908,25774.490965677793,19111.74083050161,12685.259278564208,4101.157233892759,36780.79105146878,20720.42337613203,126709.8312058415,29981.41326378762
1,84631.43269762506,18773.16541925403,15681.857942832543,26745.367988004706,18595.157882802378,36593.795398043716,8951.049544913392,12415.398031502458,26354.70932540757,14154.693264554806,11316.705347917903,21744.307927238493,45208.212101477766,13288.866347172809,14617.94254921069,7714.754535957297,24961.048806420127,30461.644204445332,25188.4855334273,18676.167148811026,6549.4163681376895,3618.1288702542793,36142.73045632502,19527.25658676069,115357.70965996834,26290.80015753862
