FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,21585.007435057807,21666.698536218028,22612.026754613562,22773.262598915364,21452.772912522167,15157.102960257771,20415.625863147063,19808.003449551907,21145.47982574888,18632.553721257722,14961.648333689047,22652.346329007167,17820.72628385195,22399.69276689063,20571.54605900376,12228.093187159588,21437.8471313014,18627.3614939087,23511.47532563536,20017.453239898587,19184.76614933055,21032.06339759333,19703.89054680531,17715.24193028008,18824.63289263767,19837.492764971335
0.001,18501.8258147009,21666.698536218028,16095.585053871771,15762.681453927478,21452.772912522167,13745.780729620896,14448.766195106467,13020.161472905365,20728.077443974977,16803.537901906602,14961.648333689047,20618.90912859756,17820.72628385195,17143.950014340517,11516.893754862765,12228.093187159588,9924.253026891955,16111.831517496988,17160.443144168297,16306.325245771837,17394.175459644543,18470.91731075896,17153.887930972145,17715.24193028008,18824.63289263767,16623.11266703514
0.01,3455.32445641949,2697.013928858987,3007.0001336326786,3060.9467239519545,2975.639819866543,1859.4316627280932,2829.5834506580977,914.2106451525178,1426.0371154485892,1022.858970731033,3243.855487466679,1490.7191604022664,1739.2441675084065,3114.474290021044,2049.8556577319905,1417.3459883741307,1084.660358745612,1700.4585340399608,1813.416332225599,1856.6422656273498,1235.9137810237735,2836.0750059526545,1046.6185022163045,939.6757685510565,907.3423427230227,1988.9737820023133
0.1,6.82600038999226e-05,0.010816720125149004,1.3106582628097385e-06,9.089861123356968e-06,8.714534487808123e-06,3.3704782254062593e-07,9.192954166792333e-06,3.927682337234728e-05,0.00010393129923613742,1.037786205415614e-06,2.075038355542347e-05,2.3227799829328433e-05,4.835397339775227e-05,0.0014924591578164836,2.67942959908396e-06,2.8253925847820938e-06,1.8261380319017917e-07,1.3072458386886865e-06,7.1891281550051644e-06,0.0006812275933043566,4.4125772546976805e-07,0.00013352289533941075,1.4056240615900606e-06,2.491797204129398e-07,2.6881425583269447e-06,0.0005390552364406176
0.2,9.933501132763922e-09,8.987626642920077e-09,6.573827704414725e-09,9.906216291710734e-09,9.575160220265388e-09,9.818904800340533e-09,7.174094207584858e-09,7.0904206950217485e-09,9.831637726165354e-09,9.542418411001563e-09,9.389623301103711e-09,9.415089152753353e-09,9.433279046788812e-09,9.444192983210087e-09,7.3960109148174524e-09,8.005372365005314e-09,8.825736586004496e-09,8.072674972936511e-09,6.020854925736785e-09,9.764335118234158e-09,9.702489478513598e-09,9.651557775214314e-09,9.986251825466752e-09,7.4323907028883696e-09,8.552888175472617e-09,8.781062206253409e-09
0.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.781062206253409e-09
