FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,17929.52385976801,15240.058725635452,13789.563057954227,16216.418760333825,20095.95890516263,11943.1254022272,15752.587959275656,22991.585825225557,15257.08740497664,23954.69479646481,13338.547807149029,15047.539477810882,15652.221020112074,15300.000055257515,17741.808345366386,16589.120151484934,17139.870782581656,13061.683378056508,18963.18100342957,13556.380572220514,8740.461537346087,16491.45020457118,22114.299040963622,11815.240052945568,14162.694587639075,16115.404108558345
0.001,17929.52385976801,15240.058725635452,13789.563057954227,16216.418760333825,20095.95890516263,11943.1254022272,15752.587959275656,22991.585825225557,15257.08740497664,23954.69479646481,13338.547807149029,15047.539477810882,15652.221020112074,15300.000055257515,17741.808345366386,16589.120151484934,17139.870782581656,13061.683378056508,18963.18100342957,13556.380572220514,8740.461537346087,16491.45020457118,22114.299040963622,11815.240052945568,14162.694587639075,16115.404108558345
0.01,14049.802648964758,5350.482369359029,5705.786760400687,12667.108541484547,13454.53119076153,11943.1254022272,7496.995735764046,10135.375553076643,10732.100074514967,12277.146679187244,8534.327801751568,7461.72792026181,9906.909099099967,6170.538930907575,5835.437542160875,5943.472974380728,7411.233144345817,6977.529408467426,6591.126476486172,11839.059498487171,4332.9477291585135,9112.79489677076,5975.9942248477455,11815.240052945568,8346.756606646592,8802.702050498357
0.1,100.77102443065792,60.70089125697763,64.18781705408009,128.78584411942234,199.46851417612226,101.58021941702486,100.43445230050435,198.16111907434657,113.63864097942138,227.5223945300892,58.17634202401911,104.5412338074845,99.96314436339236,52.26992614356493,93.04797838437014,57.01221587226689,71.39968584388771,78.014819042755,88.07448712315966,178.11340977251564,52.86923696997928,63.67331073867177,111.93596880617616,86.20794742047673,77.75441002923793,102.73220134722418
0.2,0.9020559692348797,0.4368215496136827,0.5454475197073521,2.064066756354464,1.7450936775347827,1.6035904279582383,0.592974034071915,0.8538483597621394,0.9831085009437288,0.9430427845672966,0.6704133865375752,0.6367611066712584,1.6517361553825936,0.5104784587705353,0.73750539217815,0.5234028874812111,0.6865820111853509,0.6393236154319766,0.5896227533145861,0.9124753329215309,0.8631611985259724,0.6633614186809496,1.1364511935412906,1.2962672741539336,0.6644046137045052,0.914079855129196
0.3,0.017510781001476516,0.004859407491210277,0.0058024706303854146,0.017801078684442473,0.013897885437984314,0.021186504102161052,0.008171388104699417,0.03044777384252484,0.005865163596638467,0.009706742349635533,0.006016371060127312,0.005208528499451859,0.016884865411896044,0.003468316673092886,0.017409836612898744,0.008313914758844021,0.008535761919347351,0.011394026378184208,0.003883842485834066,0.017824460700239797,0.007589990817677972,0.004751921103093082,0.008161244999598694,0.007320470388435751,0.007612375225562573,0.010785004891017707
0.4,0.0001580232322453412,7.784553787359982e-05,5.17536752226988e-05,0.00014069036143382618,0.0003549388342776183,0.0003994817163288644,0.00010905158370633217,0.00023927071759999308,3.677639051602455e-05,7.881864985392895e-05,0.00010740264571040825,3.949773275735424e-05,0.00016678968501082636,3.941118524153353e-05,0.00012724462010282878,8.564836548430321e-05,9.079439496417763e-05,0.00012747148878133885,2.0514629511581006e-05,0.00012828278994447828,4.667388685675178e-05,5.22329887644446e-05,0.00014821463128100731,7.778786550716177e-05,4.733356490760343e-05,0.00011807804695536106
0.5,4.0852427787285706e-06,8.969693681137869e-07,1.1797912407018885e-06,1.5411333151860163e-06,5.586367308296758e-06,4.763615550018585e-06,1.0287533314112807e-06,2.350031195419433e-06,6.615167649215437e-07,9.421219715477491e-07,1.1424844501561893e-06,5.967136189610756e-07,1.7892785422191082e-06,3.996383384219371e-07,1.1832046311610611e-06,1.271045903195045e-06,1.465594266392145e-06,1.693683486791997e-06,1.1839244962175144e-07,1.2845682704210049e-06,5.0213719759995e-07,2.4648977614560863e-07,1.1023957426914421e-06,2.4959518896139343e-07,7.338149430324847e-07,1.4725831852047122e-06
0.6,4.3894942791666836e-08,1.4357851796376053e-08,9.087159469345352e-09,1.2876512300863396e-08,5.07287722939509e-08,2.5301346795458812e-08,1.769848267940688e-08,2.4381222374358913e-08,1.208951516673551e-08,1.1044733128073858e-08,1.275645900022937e-08,9.301061254518572e-09,2.3917095859360415e-08,8.794529549049912e-09,7.618439212819794e-09,6.54250698062242e-09,8.47637693368597e-09,2.3508221147494623e-08,8.84290329850046e-09,2.4146572741301497e-08,8.138840712490492e-09,7.270671176229371e-09,1.5971181710483506e-08,8.108770543913124e-09,9.606537787476555e-09,1.6178428268176503e-08
0.7,5.7136730902129784e-09,9.28122290133615e-09,None,7.898393050709274e-09,8.590859579271637e-09,9.61534851739998e-09,6.956554443604546e-09,8.014410468604183e-09,6.851280431874329e-09,9.919460808305303e-09,6.643858796451241e-09,None,4.774960871145595e-09,None,None,None,8.47637693368597e-09,8.919528227124829e-09,None,7.987750905158464e-09,None,None,7.57876250645495e-09,None,None,8.02135446065222e-09
0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.02135446065222e-09
0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.02135446065222e-09
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.02135446065222e-09
