FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,18096146325.590843,13422903472.76751,9255433734.714563,2521887128.5436573,26349529989.249794,27792237684.671318,23934608454.814644,30078804490.493996,13952727656.263742,20799277125.274826,21376883401.952106,23476312844.89607,13593513250.94067,17149777910.026196,31028028974.826267,10200503094.33196,24836064742.39937,13404222479.259817,17952225643.572796,27729803405.939358,23840265602.280247,12603889891.560432,18918740814.234753,22124291683.45177,5214155200.822617,18786089400.115173
0.001,18096146325.590843,13422903472.76751,9255433734.714563,2521887128.5436573,26349529989.249794,27792237684.671318,23934608454.814644,30078804490.493996,13952727656.263742,20799277125.274826,21376883401.952106,23476312844.89607,13593513250.94067,17149777910.026196,31028028974.826267,10200503094.33196,24836064742.39937,13404222479.259817,17952225643.572796,27729803405.939358,23840265602.280247,12603889891.560432,18918740814.234753,22124291683.45177,5214155200.822617,18786089400.115173
0.01,4876525687.541162,4182083659.3512015,3960517565.0412188,2521887128.5436573,5516066295.456366,7132465922.34258,7227193801.262976,5923512010.354362,4471379747.980047,4205920397.1931033,3548467768.5089364,3553320187.079709,4864822573.845275,5705028819.598461,4160202439.7778664,4290812714.683598,6393914319.465134,3335071280.117625,5875564048.109614,5924605366.321515,5694732917.0081625,6392256503.267498,3167629581.0295153,3677246676.358603,2549057396.4946365,4766011392.269313
0.1,62.29991502341585,498.6788939178982,7.709112546144212,236.2459020664419,170.82135653194325,570.2650488742906,65.30292782270789,231.34513183576553,1095.3235158299176,116.36012026937976,1326.5357925819953,1091.611031089703,2659.9476072653624,802.1966755032164,3351.227310895098,2429.1757118276228,2346.508455038958,348.2090000356545,8918.43171131831,1365.2441364882761,5948.035201473644,7954.907098465734,8595.845088567768,9307.255854352501,9745.334967427752,2769.79270268198
0.2,7.3613364293123595e-09,8.83943584994995e-09,9.640871212468483e-09,3.9371457205561455e-09,8.070628609857522e-09,8.090410119621083e-09,3.4140157367801294e-09,6.890360282341135e-09,5.873545205759001e-09,8.204096957342699e-09,7.461636641892255e-09,8.961194453149801e-09,7.633161658304743e-09,5.5413238442270085e-09,1.101386715163244e-08,9.689131275081309e-09,6.12882899986289e-09,8.832813591652666e-09,9.879602203000104e-08,5.80735104449559e-09,1.038642949424684e-08,1.4359358146975865e-08,3.4484941124901525e-08,3.936180078767393e-05,0.9077600906784085,0.036311990075884065
0.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.272309059975669e-09,None,None,None,9.040178383656894e-09,None,8.995442613013438e-09,6.7374799073149916e-09,8.23015966489038e-09,8.88303475221619e-09,9.958910140994703e-09,7.61979208618868e-09
0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
0.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
0.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.61979208618868e-09
