FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Average
0,12614.84606171871,13013.9197028669,17023.170555696845,27170.581645733873,17455.62949150408
0.001,12614.84606171871,8755.495416989123,17023.170555696845,12548.164746150152,12735.419195138707
0.01,248.96505472105108,278.4537049662298,587.4853559736266,244.6970195436956,339.90028380115075
0.1,9.07931507754256e-09,9.300606507167686e-09,9.285031410399824e-09,2.5238421130779898e-08,1.3225843531472492e-08
0.2,None,None,None,9.511836651654448e-09,9.29419741169113e-09
0.3,None,None,None,None,9.29419741169113e-09
0.4,None,None,None,None,9.29419741169113e-09
0.5,None,None,None,None,9.29419741169113e-09
0.6,None,None,None,None,9.29419741169113e-09
0.7,None,None,None,None,9.29419741169113e-09
0.8,None,None,None,None,9.29419741169113e-09
0.9,None,None,None,None,9.29419741169113e-09
1,None,None,None,None,9.29419741169113e-09
