FES_Multiplier,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Average
0,31361.67547031841,37603.97286588858,29865.884435713422,37016.488547803216,32823.38743875472,42392.22488416967,11452.619822865727,29452.4718912886,38031.834692798875,25025.116310268597,24485.525367369653,10052.443115966003,47855.57770782216,21559.618930262128,26852.677918155732,37115.99886877245,16659.324519553957,53259.360777981085,46341.74346664254,25627.96821482495,35833.951898552856,38004.22048937153,37140.61901058722,53724.64209344924,22006.744764157254,32461.843740133543
0.001,31361.67547031841,34350.28778208935,29865.884435713422,34206.744552927485,32823.38743875472,31307.426135713395,11452.619822865727,18945.14026173751,36000.648841142836,25025.116310268597,24485.525367369653,10052.443115966003,36428.24596972553,21559.618930262128,26852.677918155732,16909.864784100548,16659.324519553957,36870.18522211764,36392.49384516233,25627.96821482495,35833.951898552856,29309.329028798,36279.380648265724,49528.17094955334,22006.744764157254,28405.394249123885
0.01,2660.8355372759042,9961.74858154472,6253.247300320181,8641.748098399854,12201.160082312614,6145.823206897718,3719.657294858486,9087.826028954569,4548.18762939913,7477.679870640346,8832.621805635114,8362.118562465246,7280.3411806847835,4175.419208005862,3270.446011482242,2631.4460034200483,4528.041030457524,6367.64332692968,11329.056152737268,3522.2310258459665,4453.370203067699,4220.790759722359,5900.212678851331,6985.0677859851985,10285.98481068924,6513.708167063323
0.1,2.0789360810160247,7.762466381370984,2.6355194885062474,6.296369487633342,2.889828078765504,3.5746184926148317,0.6304044019060484,4.619264921354613,3.4860066592788144,3.8382293893679957,2.4551824154137307,4.437849574367419,1.231511900409032,5.531386695259073,4.543241036853317,1.7774537963927628,4.758806239035096,6.8567193366881725,19.678906107836895,5.300653902904173,5.23870332406517,8.668423871354832,6.013335921336591,8.43114967178559,10.344973671901187,5.323197633896698
0.2,0.0007510217560593446,0.03526649561507611,0.0011685491297726003,0.001454342201043346,0.005805474503574715,0.007336013293127053,0.001020848691723586,0.017266567782996844,0.0008083499049575948,0.003447195646288037,0.011590955874112296,0.0010880855712684934,0.000675649456127303,0.007839679646281184,0.003865232072996605,0.0037019047067587962,0.01037030494597957,0.031426971934081394,0.0669303333857556,0.014861813584047923,0.015657356555152546,0.004289497114370988,0.002174911452698325,0.0024276043873783237,0.014034869181841714,0.010610401135738811
0.3,1.4888927921674622e-06,1.64320391036199e-05,2.3190838192022056e-06,1.0914117638094467e-05,3.5029905234296166e-06,7.468117246389738e-06,3.9303706671489635e-06,4.918049648949818e-05,5.686912345481687e-07,5.318781177265919e-06,6.062777231363725e-06,1.446313774522423e-06,4.3192147813897463e-07,1.8518408182899293e-05,5.247519709428161e-06,4.515687180628447e-06,9.009516304558929e-06,7.2934148533931875e-06,5.985041622125209e-05,3.1939558539306745e-05,4.026049589356262e-05,2.5254757360926305e-06,1.249091667432367e-06,1.0307749164439883e-05,2.5877164773646655e-05,1.302636365608123e-05
0.4,5.251990842225496e-09,6.76724312143051e-08,6.360835413943278e-09,3.4850131669372786e-08,9.433961167815141e-09,1.2371060620353092e-08,1.2035741292493185e-08,3.7193501611909596e-08,9.406619483343093e-09,4.661615093937144e-09,8.236838766606525e-09,6.80489620208391e-09,8.659583272674354e-09,1.6873684671736555e-08,9.294126357417554e-09,4.144851573073538e-09,7.162213933042949e-09,9.883024176815525e-09,1.0823345064636669e-07,5.461021146402345e-08,8.433210041403072e-08,9.918721843860112e-09,7.517655831179582e-09,1.0023597951658303e-08,3.385940772204776e-08,2.315169012945262e-08
0.5,None,5.285073712002486e-09,None,9.188966032525059e-09,None,6.8976646616647486e-09,7.659934908588184e-09,9.703626346890815e-09,None,None,None,None,None,9.312657311966177e-09,None,None,None,None,9.347672857984435e-09,9.398547717864858e-09,8.552888175472617e-09,None,None,9.568566383677535e-09,9.503082765149884e-09,8.0462245932722e-09
0.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.0462245932722e-09
0.7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.0462245932722e-09
0.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.0462245932722e-09
0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.0462245932722e-09
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.0462245932722e-09
